,WellName,Date,Concentration
0,MW-64,2015-12-31,30.50935070254612
1,MW-64,2016-12-31,19.87857367925366
2,MW-64,2017-12-31,8.495208380599559
3,MW-64,2018-12-31,
4,MW-64,2019-12-31,
5,415-Evergreen-Dr,2015-12-31,0.0
6,415-Evergreen-Dr,2016-12-31,0.0
7,415-Evergreen-Dr,2017-12-31,0.0
8,415-Evergreen-Dr,2018-12-31,0.0
9,415-Evergreen-Dr,2019-12-31,0.0
10,MW-21,2015-12-31,0.0
11,MW-21,2016-12-31,0.0
12,MW-21,2017-12-31,0.0
13,MW-21,2018-12-31,0.0
14,MW-21,2019-12-31,0.0
15,Second-Sister-Lake,2015-12-31,0.0063369014683476
16,Second-Sister-Lake,2016-12-31,0.0128485951864256
17,Second-Sister-Lake,2017-12-31,0.0195202467379524
18,Second-Sister-Lake,2018-12-31,0.0263588904681026
19,Second-Sister-Lake,2019-12-31,0.0333703460428018
20,RL-6,2015-12-31,0.0
21,RL-6,2016-12-31,0.0
22,RL-6,2017-12-31,0.0
23,RL-6,2018-12-31,0.0
24,RL-6,2019-12-31,0.0
25,3685-Dexter-Rd,2015-12-31,0.0
26,3685-Dexter-Rd,2016-12-31,0.0
27,3685-Dexter-Rd,2017-12-31,0.0
28,3685-Dexter-Rd,2018-12-31,0.0
29,3685-Dexter-Rd,2019-12-31,0.0
30,3565-Dexter-Rd,2015-12-31,0.0
31,3565-Dexter-Rd,2016-12-31,0.0
32,3565-Dexter-Rd,2017-12-31,0.0
33,3565-Dexter-Rd,2018-12-31,0.0
34,3565-Dexter-Rd,2019-12-31,0.0
35,MW-84d,2015-12-31,0.0
36,MW-84d,2016-12-31,0.0
37,MW-84d,2017-12-31,0.0
38,MW-84d,2018-12-31,0.0
39,MW-84d,2019-12-31,0.0
40,4560-Jackson-Rd,2015-12-31,0.0
41,4560-Jackson-Rd,2016-12-31,0.0
42,4560-Jackson-Rd,2017-12-31,0.0
43,4560-Jackson-Rd,2018-12-31,0.0
44,4560-Jackson-Rd,2019-12-31,0.0
45,545-Allison,2015-12-31,14.797608662185448
46,545-Allison,2016-12-31,15.290862284258296
47,545-Allison,2017-12-31,15.784115906331143
48,545-Allison,2018-12-31,16.27736952840399
49,545-Allison,2019-12-31,16.77062315047684
50,Varsity-Ford,2015-12-31,2.481370253756172
51,Varsity-Ford,2016-12-31,2.484758340149281
52,Varsity-Ford,2017-12-31,2.4877854829473627
53,Varsity-Ford,2018-12-31,2.4908126257454444
54,Varsity-Ford,2019-12-31,2.493839768543525
55,44-LUELLA-ST,2015-12-31,0.0
56,44-LUELLA-ST,2016-12-31,0.0
57,44-LUELLA-ST,2017-12-31,0.0
58,44-LUELLA-ST,2018-12-31,0.0
59,44-LUELLA-ST,2019-12-31,0.0
60,371-Parkland-Plaza-#1,2015-12-31,0.0
61,371-Parkland-Plaza-#1,2016-12-31,0.0
62,371-Parkland-Plaza-#1,2017-12-31,0.0
63,371-Parkland-Plaza-#1,2018-12-31,0.0
64,371-Parkland-Plaza-#1,2019-12-31,0.0
65,4050-W-Liberty-Rd,2015-12-31,0.0
66,4050-W-Liberty-Rd,2016-12-31,0.0
67,4050-W-Liberty-Rd,2017-12-31,0.0
68,4050-W-Liberty-Rd,2018-12-31,0.0
69,4050-W-Liberty-Rd,2019-12-31,0.0
70,Eaton-101s,2015-12-31,0.0
71,Eaton-101s,2016-12-31,0.0
72,Eaton-101s,2017-12-31,0.0
73,Eaton-101s,2018-12-31,0.0
74,Eaton-101s,2019-12-31,0.0
75,360-W-DELHI-RD,2015-12-31,0.0
76,360-W-DELHI-RD,2016-12-31,0.0
77,360-W-DELHI-RD,2017-12-31,0.0
78,360-W-DELHI-RD,2018-12-31,0.0
79,360-W-DELHI-RD,2019-12-31,0.0
80,3839-Dexter-Rd,2015-12-31,0.0
81,3839-Dexter-Rd,2016-12-31,0.0
82,3839-Dexter-Rd,2017-12-31,0.0
83,3839-Dexter-Rd,2018-12-31,0.0
84,3839-Dexter-Rd,2019-12-31,0.0
85,407-Adrienne-Lane,2015-12-31,0.0
86,407-Adrienne-Lane,2016-12-31,0.0
